Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Victim Category,Sources_1,Sources_2,Sources_3,Who_attributed,APT_Family
APT 36,3/16/2020,"Also known as Mythic Leopard, Transparent Tribe, TMP.Lapis, ProjectM, C-Major.",Pakistani government-aligned threat actor that has used fake coronavirus health information to phish targets.,,India,Pakistan,,,https://malpedia.caad.fkie.fraunhofer.de/actor/operation_c-major,https://blog.malwarebytes.com/threat-analysis/2020/03/apt36-jumps-on-the-coronavirus-bandwagon-delivers-crimson-rat/,,Red Drip Team,APT 36
Targeting of Ukraine with coronavirus phishing emails,3/13/2020,APT 28,"The Russian hackers Hades (aka APT 28) targeted Ukraine with coronavirus-themed phishing emails. At the same time, viral disinformation about the virus spread in Ukraine, causing riots.",,Ukrainian citizens,Russian Federation,Misc Espionage,Civil society,https://www.zdnet.com/article/state-sponsored-hackers-are-now-using-coronavirus-lures-to-infect-their-targets/,https://twitter.com/RedDrip7/status/1230683740508000256,,"Red Drip Team, VinCSS, IssueMakersLab, CrowdStrike, Checkpoint",APT 28
Targeting of U.S. government employees,1/30/2020,APT 34,"The Iranian state-backed hackers sent out sophisticated spear-phishing lures imitating Westat, a research services company, in hopes of compromising U.S. government employees and networks. They could have also intended to compromise actual Westat employees.",,U.S. government employees and possibly Westat employees,Iran (Islamic Republic of),Political Espionage,"Government, Private sector",https://intezer.com/blog/apt/new-iranian-campaign-tailored-to-us-companies-uses-updated-toolset/,https://www.zdnet.com/article/iranian-hackers-target-us-government-workers-in-new-campaign/,,"Intezer, FireEye",APT 34
Phishing with fake coronavirus health advisory,3/16/2020,APT 36,The Pakistani government???aligned threat actor APT 36 used a fake coronavirus health advisory to phish its targets and deliver a RAT.,,Likely Indian government or civil society targets based on past targeting.,Pakistan,Misc Espionage,,https://twitter.com/RedDrip7/status/1237983760802394112,https://blog.malwarebytes.com/threat-analysis/2020/03/apt36-jumps-on-the-coronavirus-bandwagon-delivers-crimson-rat/,,Red Drip Team,APT 36
Disclosure by Japanese firms of breaches between 2015 and 2018,2/6/2020,"Unknown, suspected APT 17.",The Japanese defense contractors Pasco and Kobe Steel disclosed security breaches that happened between 2015 and 2016 and in May 2018. Kobe steel supplies submarine parts to the Japan Self-Defense Forces and Pasco provides satellite data. Nikkei suspects that APT 17 could have been involved.,,Japanese defense contractors,China,Military Espionage,Private sector,https://www.bleepingcomputer.com/news/security/japanese-defense-contractors-kobe-steel-pasco-disclose-breaches/,https://this.kiji.is/595817375508235361,,TrendMicro,APT 17
Infection of computer systems belonging to universities in Hong Kong,1/31/2020,APT 17,"The APT 17, a Chinese government-backed threat actor, installed malware on computer systems at two universities in Hong Kong during protests. Three other universities in Hong Kong could have been simultaneously targeted.",,Universities in Hong Kong,China,Civil Espionage,Civil society,https://www.welivesecurity.com/2020/01/31/winnti-group-targeting-universities-hong-kong/,https://www.bleepingcomputer.com/news/security/winnti-group-infected-hong-kong-universities-with-malware/,,ESET,APT 17
"Global phishing campaign against industrial, government, and civil society targets",3/20/2020,APT 28,"The Russian threat actor APT 28 used phishing campaigns to steal credentials from organizations across the world, in government, private sector, and civil society. They also searched the internet for vulnerable webmail servers.",,"Targets across sectors and throughout the world, but especially defense sector and the United Arab Emirates.",Russian Federation,Commercial Espionage,"Private sector, Government, Civil society, Military",https://www.zdnet.com/article/apt28-has-been-scanning-and-exploiting-vulnerable-email-servers-for-more-than-a-year/,https://documents.trendmicro.com/assets/white_papers/wp-pawn-storm-in-2019.pdf,,TrendMicro,APT 28
Continued targeting of cryptocurrency businesses,1/8/2020,Lazarus Group,The North Korean hackers renewed attacks against unnamed cryptocurrency businesses to steal cryptocurrency for financial gain.,,Cryptocurrency exchanges,Korea (Democratic People's Republic of),Financial Theft,Private sector,https://securelist.com/operation-applejeus-sequel/95596/,,,Kaspersky,Lazarus Group
Impersonation of journalists to compromise public figures,1/30/2020,Charming Kitten,The Iranian state-backed threat actor Charming Kitten impersonated prominent journalists and sent targets fake interview requests in order to steal their credentials and send them malware.,,"Academics, researchers, and dissidents in the United States, Israel, Saudi Arabia, Europe, the UK, and possibly elsewhere.",Iran (Islamic Republic of),Civil Espionage,"Civil society, Government",https://blog.certfa.com/posts/fake-interview-the-new-activity-of-charming-kitten/,https://www.reuters.com/article/us-iran-hackers-exclusive/exclusive-iran-linked-hackers-pose-as-journalists-in-email-scam-idUSKBN1ZZ1MS,,"Certfa Lab,  ClearSky, Secureworks",APT 35
Targeting of the World Health Organization,3/23/2020,DarkHotel,"DarkHotel, an advanced actor possibly associated with the South Korean government, attempted to phish World Health Organization employees.",,World Health Organization,Korea (Republic of),Misc Espionage,Civil society,https://www.reuters.com/article/us-health-coronavirus-who-hack-exclusive/exclusive-elite-hackers-target-who-as-coronavirus-cyberattacks-spike-idUSKBN21A3BN,,,Blackstone Law Group,DarkHotel
